OBJECTID,Venue,Sport,Latitude,Longitude,Description,Spectator_,Image_link,Web_Link
1,Carrara Sports and Leisure Centre,Badminton Wrestling,-28.00453736,153.3643858,Revitalisation of the Carrara Sports Precinct will provide new and upgraded facilities for a range of elite and community sporting groups on the Gold Coast. The works include construction of the Carrara Sports and Leisure Centre and upgrades to both Carrara Stadium and Carrara Indoor Stadium.,2500,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games/555-carrara-sports-and-leisure-precinct
2,Carrara Indoor Stadium,Weightlifting,-28.00556926,153.3653254,Refurbishment of this multi-purpose indoor venue will be designed to extend community usage of this facility for the next 20 years and beyond.,2500,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games/555-carrara-sports-and-leisure-precinct
3,Carrara Stadium,Opening and Closing Ceremonies Athletics,-28.00633173,153.3670931,"Carrara Stadium is home to the Australian Football League team the Gold Coast Suns. The stadium currently accommodates up to 25000 spectators and will be enhanced with additional temporary seating for GC2018.This world-class facility will benefit from permanent lighting and technology upgrades and construction work is scheduled to started in late 2016",40000,http://www.metriconstadium.com.au/the-stadium/stadium-information/,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games/555-carrara-sports-and-leisure-precinct
4,Coomera Sports and Leisure Centre,Gymnastics Netball finals,-27.86637688,153.3191982,"The Coomera Indoor Sports Centre will provide an important piece of community infrastructure for one of the Gold Coast's fastest growing regions. This new multi-purpose facility will accommodate a range of indoor sports and community facilities including mixed use indoor sports courts gymnastics arena change rooms meeting rooms function rooms and a kiosk. ",7500,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games/553-coomera-sports-and-leisure-centre
5,Nerang Mountain Bike Trails,Mountain Biking,-27.98501922,153.3358494,New and upgraded mountain bike trails will provide South East Queensland with a world-class mountain bike facility.  Preliminary design work is underway. ,2000,http://www.nprsr.qld.gov.au/parks/nerang/,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats
6,Gold Coast Aquatic Centre,Swimming Diving,-27.96371115,153.4157887,"The Gold Coast Aquatic Centre redevelopment project was completed in June 2014 almost 4 years ahead of GC2018. The venue was delivered in time to host the Pan Pacific Championships in August 2014. The project involved refurbishing the existing 8 lane 50 metre  pool the 25 metre pool and dive pools and brand new facilities including a new 10 lane 50 metre competition pool an elevated spectator concourse with seating for 1000 patrons new change room and toilet facilities and a dry dive training facility. ",2500 Diving                           10000 Swimming,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats,http://www.goldcoast.qld.gov.au/thegoldcoast/gold-coast-aquatic-centre-23174.html
7,Gold Coast Hockey Centre,Hockey,-27.9543339,153.3928814,"This redevelopment project includes upgrades to 2 new synthetic pitches new community facilities and improvements to existing facilities. The design is underway with construction likely to start in late 2015.",5000,http://www.goldcoasthockey.com/,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games/685-gold-coast-hockey-centre
8,Broadbeach Bowls Club,Lawn Bowls,-28.02123628,153.4317095,Broadbeach Bowls Club is the city’s premier lawn bowls facility and will host the lawn bowls competition following an update of the facility’s 4 existing greens. The lawn bowls facility will be upgraded to accommodate GC2018 competition requirements including minor building upgrades to the clubhouse facility and additional outdoor lighting for the greens.,2500,http://www.broadbeachbowlsclub.com/best-large-club-of-the-year,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats
9,Runaway Bay Sports Centre,Squash,-27.91118379,153.3930739,A permanent building extension will be built to this indoor facility for the purpose of hosting the Squash competition events during GC2018. This new indoor space will be designed as a mixed-use facility to accommodate a range of indoor sports and community uses in the long term. ,3000,http://www.goldcoast.qld.gov.au/thegoldcoast/sports-super-centre-2836.html,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats
10,Queensland State Velodrome,Cycling (Track),-27.5150066,153.1464984,Construction has begun on Queensland’s first indoor velodrome. This exciting new build will be more than just a track cycling facility. The design incorporates a range of additional community sport and recreation uses including mixed-use sport courts and community function spaces. ,4000,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games?view=listcats,http://www.statedevelopment.qld.gov.au/index.php/major-projects/venues/gold-coast-2018-commonwealth-games/551-test
